20:50:42: [INFO] [C:\Users\12897\autonomy-bootcamp-2025-p2\modules\telemetry\telemetry_worker.py | telemetry_worker | 47] Logger initialized
20:50:43: [ERROR] [C:\Users\12897\autonomy-bootcamp-2025-p2\modules\telemetry\telemetry.py | run | 134] Did not recieve both position and attitude
20:50:44: [ERROR] [C:\Users\12897\autonomy-bootcamp-2025-p2\modules\telemetry\telemetry.py | run | 134] Did not recieve both position and attitude
20:50:45: [ERROR] [C:\Users\12897\autonomy-bootcamp-2025-p2\modules\telemetry\telemetry.py | run | 134] Did not recieve both position and attitude
20:50:46: [ERROR] [C:\Users\12897\autonomy-bootcamp-2025-p2\modules\telemetry\telemetry.py | run | 134] Did not recieve both position and attitude
20:50:47: [ERROR] [C:\Users\12897\autonomy-bootcamp-2025-p2\modules\telemetry\telemetry.py | run | 134] Did not recieve both position and attitude
20:50:48: [ERROR] [C:\Users\12897\autonomy-bootcamp-2025-p2\modules\telemetry\telemetry.py | run | 134] Did not recieve both position and attitude
20:50:49: [ERROR] [C:\Users\12897\autonomy-bootcamp-2025-p2\modules\telemetry\telemetry.py | run | 134] Did not recieve both position and attitude
20:50:50: [ERROR] [C:\Users\12897\autonomy-bootcamp-2025-p2\modules\telemetry\telemetry.py | run | 134] Did not recieve both position and attitude
20:50:51: [ERROR] [C:\Users\12897\autonomy-bootcamp-2025-p2\modules\telemetry\telemetry.py | run | 134] Did not recieve both position and attitude
20:50:52: [ERROR] [C:\Users\12897\autonomy-bootcamp-2025-p2\modules\telemetry\telemetry.py | run | 134] Did not recieve both position and attitude
20:50:53: [ERROR] [C:\Users\12897\autonomy-bootcamp-2025-p2\modules\telemetry\telemetry.py | run | 134] Did not recieve both position and attitude
20:50:54: [ERROR] [C:\Users\12897\autonomy-bootcamp-2025-p2\modules\telemetry\telemetry.py | run | 134] Did not recieve both position and attitude
20:50:55: [ERROR] [C:\Users\12897\autonomy-bootcamp-2025-p2\modules\telemetry\telemetry.py | run | 134] Did not recieve both position and attitude
20:50:56: [ERROR] [C:\Users\12897\autonomy-bootcamp-2025-p2\modules\telemetry\telemetry.py | run | 134] Did not recieve both position and attitude
