20:52:57: [INFO] [C:\Users\12897\autonomy-bootcamp-2025-p2\modules\telemetry\telemetry_worker.py | telemetry_worker | 47] Logger initialized
20:52:58: [ERROR] [C:\Users\12897\autonomy-bootcamp-2025-p2\modules\telemetry\telemetry.py | run | 134] Did not recieve both position and attitude
20:52:59: [ERROR] [C:\Users\12897\autonomy-bootcamp-2025-p2\modules\telemetry\telemetry.py | run | 134] Did not recieve both position and attitude
20:53:00: [ERROR] [C:\Users\12897\autonomy-bootcamp-2025-p2\modules\telemetry\telemetry.py | run | 134] Did not recieve both position and attitude
20:53:01: [ERROR] [C:\Users\12897\autonomy-bootcamp-2025-p2\modules\telemetry\telemetry.py | run | 134] Did not recieve both position and attitude
20:53:02: [ERROR] [C:\Users\12897\autonomy-bootcamp-2025-p2\modules\telemetry\telemetry.py | run | 134] Did not recieve both position and attitude
20:53:03: [ERROR] [C:\Users\12897\autonomy-bootcamp-2025-p2\modules\telemetry\telemetry.py | run | 134] Did not recieve both position and attitude
20:53:04: [ERROR] [C:\Users\12897\autonomy-bootcamp-2025-p2\modules\telemetry\telemetry.py | run | 134] Did not recieve both position and attitude
20:53:05: [ERROR] [C:\Users\12897\autonomy-bootcamp-2025-p2\modules\telemetry\telemetry.py | run | 134] Did not recieve both position and attitude
20:53:06: [ERROR] [C:\Users\12897\autonomy-bootcamp-2025-p2\modules\telemetry\telemetry.py | run | 134] Did not recieve both position and attitude
20:53:07: [ERROR] [C:\Users\12897\autonomy-bootcamp-2025-p2\modules\telemetry\telemetry.py | run | 134] Did not recieve both position and attitude
20:53:08: [ERROR] [C:\Users\12897\autonomy-bootcamp-2025-p2\modules\telemetry\telemetry.py | run | 134] Did not recieve both position and attitude
20:53:09: [ERROR] [C:\Users\12897\autonomy-bootcamp-2025-p2\modules\telemetry\telemetry.py | run | 134] Did not recieve both position and attitude
20:53:10: [ERROR] [C:\Users\12897\autonomy-bootcamp-2025-p2\modules\telemetry\telemetry.py | run | 134] Did not recieve both position and attitude
20:53:11: [ERROR] [C:\Users\12897\autonomy-bootcamp-2025-p2\modules\telemetry\telemetry.py | run | 134] Did not recieve both position and attitude
