20:52:13: [INFO] [C:\Users\12897\autonomy-bootcamp-2025-p2\modules\telemetry\telemetry_worker.py | telemetry_worker | 47] Logger initialized
20:52:14: [ERROR] [C:\Users\12897\autonomy-bootcamp-2025-p2\modules\telemetry\telemetry.py | run | 134] Did not recieve both position and attitude
20:52:15: [ERROR] [C:\Users\12897\autonomy-bootcamp-2025-p2\modules\telemetry\telemetry.py | run | 134] Did not recieve both position and attitude
20:52:16: [ERROR] [C:\Users\12897\autonomy-bootcamp-2025-p2\modules\telemetry\telemetry.py | run | 134] Did not recieve both position and attitude
20:52:17: [ERROR] [C:\Users\12897\autonomy-bootcamp-2025-p2\modules\telemetry\telemetry.py | run | 134] Did not recieve both position and attitude
20:52:18: [ERROR] [C:\Users\12897\autonomy-bootcamp-2025-p2\modules\telemetry\telemetry.py | run | 134] Did not recieve both position and attitude
20:52:19: [ERROR] [C:\Users\12897\autonomy-bootcamp-2025-p2\modules\telemetry\telemetry.py | run | 134] Did not recieve both position and attitude
20:52:20: [ERROR] [C:\Users\12897\autonomy-bootcamp-2025-p2\modules\telemetry\telemetry.py | run | 134] Did not recieve both position and attitude
20:52:21: [ERROR] [C:\Users\12897\autonomy-bootcamp-2025-p2\modules\telemetry\telemetry.py | run | 134] Did not recieve both position and attitude
20:52:22: [ERROR] [C:\Users\12897\autonomy-bootcamp-2025-p2\modules\telemetry\telemetry.py | run | 134] Did not recieve both position and attitude
20:52:23: [ERROR] [C:\Users\12897\autonomy-bootcamp-2025-p2\modules\telemetry\telemetry.py | run | 134] Did not recieve both position and attitude
20:52:24: [ERROR] [C:\Users\12897\autonomy-bootcamp-2025-p2\modules\telemetry\telemetry.py | run | 134] Did not recieve both position and attitude
20:52:25: [ERROR] [C:\Users\12897\autonomy-bootcamp-2025-p2\modules\telemetry\telemetry.py | run | 134] Did not recieve both position and attitude
20:52:26: [ERROR] [C:\Users\12897\autonomy-bootcamp-2025-p2\modules\telemetry\telemetry.py | run | 134] Did not recieve both position and attitude
20:52:27: [ERROR] [C:\Users\12897\autonomy-bootcamp-2025-p2\modules\telemetry\telemetry.py | run | 134] Did not recieve both position and attitude
